Année;Livraison;Date;Numéro;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Identifiant auteur;Identifiant ouvrage;Posture;Affichage identitaire;Traducteur;Identifiant traducteur;Para-auteur;Identifiant para-auteur;Nb de feuilles;Fraction;Nombre de pages;Volumes;Calcul;Format;Tirage 1;Illustration 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustration 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustration 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Tirage 4;Type de papier 4;Tirage 5;Type de papier 5;Tirage 6;Type de papier 6;Tirage 7;Type de papier 7;Tirage 8;Type de papier 8;Tirage 9;Type de papier 9;Edition;Lieu d'édition;Impression;Lieu d'impression;Librairie 1;Lieu de vente 1;Librairie 2;Lieu de vente 2;Librairie 3;Lieu de vente 3;Librairie 4;Lieu de vente 4;Librairie 5;Lieu de vente 5;Librairie 6;Lieu de vente 6;Librairie 7;Lieu de vente 7;Librairie 8;Lieu de vente 8;Librairie 9;Lieu de vente 9;Commentaires des bibliographes contenus dans la notice;Notes (e-BdF);;;;;;;;;;;;;;;
1824;1;1824/01/03;3;"226;199";BELLES-LETTRES;"Poétique et Poésie;Polygraphes";Français;Classiques français. Poésies de Malherbe, plus un portrait;Malherbe;http://ark.bnf.fr/ark:/12148/cb12327103c;;;;;;;;4;13/16;308;;64;in-32;;un portrait;1;vélin;;;;;;;;;;;;;;;;;;;;;;;;;;F. Didot;Paris;L. Debure;Paris, rue Guénégaud, n. 27;;;;;;;;;;;;;;;;;"""La couverture imprimée porte : Classiques français, ou Bibliothèque portative de l'amateur, composée des chefs-d'œuvre en prose et en vers des meilleurs auteurs, et ornée de portraits. V. n. 4.""";;;;;;;;;;;;;;;;
1824;1;1824/01/03;20;200;BELLES-LETTRES;Poétique et Poésie;Français;Œuvres de Gilbert, avec notes et variantes, et une nouvelle notice. Par M. Amar;Gilbert;http://ark.bnf.fr/ark:/12148/cb12096444g;http://ark.bnf.fr/ark:/12148/cb305061646;;;;;Amar;http://ark.bnf.fr/ark:/12148/cb129771999;8;5/8;552;2;64;;;une planche;1;;;;;;;;;;;;;;;;;;;;;;;;;;;Jules Didot aîné;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;21;199;BELLES-LETTRES;Poétique et Poésie;Français;"Œuvres de Clément Marot. Nouvelle édition, revue sur toutes celles qui l'ont précédées ; avec des notes historiques et un glossaire des vieux mots. Par M. P. R. Auguis.";Clément Marot;http://ark.bnf.fr/ark:/12148/cb119146627;http://ark.bnf.fr/ark:/12148/cb308886407;;;;;M. P. R. Auguis;http://ark.bnf.fr/ark:/12148/cb124785168;35;;1260;;36;in-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C. Chantpie;Paris;C. Chantpie;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;22;211;BELLES-LETTRES;Théâtre;Français;"L'Ecole des Vieillards, comédie en cinq actes et en vers ; représentée le 6 décembre 1823, par les comédiens ordinaires du roi. Troisième édition. […] plus un catalogue de 8 pages.";Casimir Delavigne;http://ark.bnf.fr/ark:/12148/cb12052639n;http://ark.bnf.fr/ark:/12148/cb38659682j;;;;;;;18;1/2;296;;16;in-8°;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;Pinard;Paris;Barba;Paris;Ladvocat;Paris;;;;;;;;;;;;;;;"""Conforme à la seconde édition. V. n° 3864 de 1823.""";;;;;;;;;;;;;;;;
1824;1;1824/01/03;25;206;BELLES-LETTRES;Poétique et Poésie;Français;Rondeau redoublé dédié à la gloire de Mgr le duc d'Angoulême;J. B. Gougé;http://ark.bnf.fr/ark:/12148/cb10216268b;http://ark.bnf.fr/ark:/12148/cb305268547;;;;;;;;1/4;4;;16;in-8°;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;Boucher;Paris;chez l'auteur;Paris, rue de la Boule-Rouge, n. 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;26;208;BELLES-LETTRES;Poétique et Poésie;Français;Le Héros du Midi aux colonnes d’Alcide, ou l'Espagne pacifée, esquisse en deux chants;Louis Borde;http://ark:/12148/cb10649446m;http://ark.bnf.fr/ark:/12148/cb30131440r;;;;;;;1;;16;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mme veuve Silbermann;Strasbourg;;;;;;;;;;;;;;;;;;;"""In-8° d'une feuille, y compris la couverture. […] Signé : Louis Borde.""";;;;;;;;;;;;;;;;
1824;1;1824/01/03;27;201;BELLES-LETTRES;Poétique et Poésie;Français;Chant français;Auguste Olmade, chef de division à la mairie de Toulouse;http://ark.bnf.fr/ark:/12148/cb10738382x;http://ark.bnf.fr/ark:/12148/cb31036108m;;"Administration;Contexte géographique";;;;;;1/2;8;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vieusseux;Toulouse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;29;208;BELLES-LETTRES;Poétique et Poésie;Français;L’Espagne délivrée, cantate;A. Salin;http://ark.bnf.fr/ark:/12148/cb10715841k;http://ark.bnf.fr/ark:/12148/cb31287788c;;;;;;;;1/2;8;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Herhan;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;30;200;BELLES-LETTRES;Poétique et Poésie;Français;La Vendée, poëme en six chants;M. le vicomte le Prévost d’Iray;http://ark.bnf.fr/ark:/12148/cb119117514;http://ark.bnf.fr/ark:/12148/cb30795863r;;Noblesse;;;;;21;3/4;348;;16;in-8°;;une planche;1;;6;;;;;;;;;;;;;;;;;;;;;;;;;Lachevardière;Paris;A. Bertrand;Paris;;;;;;;;;;;;;;;;;"""In-8° de 21 feuilles 3/4, plus une planche.""";;;;;;;;;;;;;;;;
1824;1;1824/01/03;32;206;BELLES-LETTRES;Poétique et Poésie;Français;Essais d’Elisée Lecomte;Elisée Lecomte, négociant à l'Aigle (Orne);http://ark.bnf.fr/ark:/12148/cb10361025h;http://ark.bnf.fr/ark:/12148/cb30767473t;;"Commerce;Contexte géographique";;;;;2;1/4;36;;16;in-8°;;;;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;Crapelet;Paris;;;;;;;;;;;;;;;;;;;"""Contient des morceaux en prose et des pièces de vers.
La dédicace à M. Casimir Perrier est signée : E. Lecomte Duval.
Ne se vend pas, quoique le prix soit indiqué sur la couverture.""";;;;;;;;;;;;;;;;
1824;1;1824/01/03;33;206;BELLES-LETTRES;Poétique et Poésie;Français;Manuel du commis-voyageur;E. Lecomte, négociant à l'Aigle (Orne);http://ark.bnf.fr/ark:/12148/cb10361025h;http://ark.bnf.fr/ark:/12148/cb307674776;;"Commerce;Contexte géographique";;;;;;3/4;12;;16;in-8°;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;Crapelet;Paris;;;;;;;;;;;;;;;;;;;Épître en vers.;;;;;;;;;;;;;;;;
