Année;Livraison;Date;N° de notice;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Identifiant auteur;Posture;Affichage identitaire;Traducteur;Identifiant traducteur;Para-auteur;Identifiant para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d'impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1823;1;1823/01/04;1;"201;185";BELLES-LETTRES;"Polygraphes;Poétique et Poésie";Français;"Roland furieux, trad. de l'Arioste, par le comte de Tressan. Edition revue, corrigée et augmentée de notes, de sommaires et d'une table ; ornée de gravures d'après les dessins de M. Colin. Tome II";l'Arioste;http://ark.bnf.fr/ark:/12148/cb11889084c;;Noblesse;comte de Tressan;http://ark.bnf.fr/ark:/12148/cb121331932;M. Colin;M. Colin;30 1/4;;484;;In-8;;gravures;;;8;;gravures, figures avant la lettre;;grand papier vélin;18;;gravures, eaux-fortes;;;22;;;F. Didot;Paris;Paris;Nepveu;Paris;Aimé-André;;;;;;;;;;;;;;;"""Ce volume forme la cinquième livraison et le tome VI des Œuvres du comte de Tressan, précédées d'une Notice sur sa vie et ses ouvrages, par M. Campenon, de l'Académie française ; édition revue, corrigée et augmentée de notes. Les volumes II, III, IV, VIII forment les quatre premières livraisons. L'édition entière aura 12 volumes avec le portrait de l'auteur et 12 gravures ; la moitié des gravures se délivrera avec la sixième livraison, le reste avec la dernière. Chaque volume se vend aux souscripteurs inscrits avant le 1er juillet dernier, 8 fr. ; grand papier vélin, figures avant la lettre, 18 fr. ; avec les eaux-fortes, 22 fr.""";;http://ark.bnf.fr/ark:/12148/cb31493532s
1823;1;1823/01/04;2;201;BELLES-LETTRES;Polygraphes;Français;Œuvres de François-Guillaume-Jean-Stanislas Andrieux, membre de l'Institut royal de France, académie française;François-Guillaume-Jean-Stanislas Andrieux, membre de l'Institut royal de France, académie française;http://ark.bnf.fr/ark:/12148/cb11888836g;;Sociétés savantes;;;;;53 2/3;;1932;6;In-18;;1 portrait;1;1;12;;;;;;;;;;;;;F. Didot;Paris;Paris;Nepveu;;;;;;;;;;;;;;;;;"""Une édition in-8° en quatre volumes (voyez n. 5732 de 1822), se vend 26 fr.""";;http://ark.bnf.fr/ark:/12148/cb30020207r
1823;1;1823/01/04;3;198;BELLES-LETTRES;Mythologie et Fables;Français;Fables de M. Le Bailly. Quatrième édition, suivie du Gouvernement des animaux, ou l'Ours réformateur, poëme ésopique.;M. Le Bailly;http://ark.bnf.fr/ark:/12148/cb12456186f;;;;;;;23;;368;;In-8;;2 planches lithographiques;2;;8;;;;;;;;;;;;;Didot aîné;Paris;;J.-L.J. Brière;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb30758395w
1823;1;1823/01/04;4;201;BELLES-LETTRES;Polygraphes;Français;Œuvres complètes de J. F. Regnard. Nouvelle édition, avec des variantes et des notes. Tomes V et VI.;J. F. Regnard;;;;;;;;47;;752;2;In-8;20;;;grand raisin fin;15;80;;;grand raisin vélin;26;;;;;;;;Crapelet;Paris;Paris;A. A. Renouard;Paris;Lefèvre;;;;;;;;;;;;;;;"""Ces deux volumes complètent l'édition tiré à 80 exemplaires sur grand raisin vélin, et 20 sur grand raisin fin des œuvres de Destouches et de Regnard. Chacun de ces auteurs forme 6 volumes. Chaque volume coûte, en grand raisin vélin, 26 fr. ; en grand raisin fin, 15 fr. Voyez ci-après l'article VARIÉTÉS.""";Prix par volume (JBM). Edition non trouvée dans le catalogue de la BnF (JBM).;
1823;1;1823/01/04;5;201;BELLES-LETTRES;Polygraphes;Français;"Œuvres de Fénelon, archevêque de Cambrai, publiées d'après les manuscrits originaux, et les éditions les plus correctes ; avec un grand nombre de pièces inédites. Tomes IX et XIII.";Fénelon, archevêque de Cambrai;http://ark.bnf.fr/ark:/12148/cb11886277x;;"Religion;Contexte géographique";;;;;73;;1168;2;In-8;;;;;5,5;;;;;;;;;;;;;J. A. Lebel;Paris;Paris;Lebel;;;;;;;;;;;;;;;;;"""(1822.)""
""Prix de chaque volume""
";;http://ark.bnf.fr/ark:/12148/cb33991610d
1823;1;1823/01/04;15;171;BELLES-LETTRES;Introduction;Français;"Lycée, ou Cours de littérature ancienne et moderne ; par J.-F. Laharpe. Quatrième édition. Tomes XIII, XIV, XV et XVI.";J. F. Laharpe;http://ark.bnf.fr/ark:/12148/cb119102865;;;;;;;42;;1512;4;In-18;;;;;10;;;;papier fin satiné;12,5;;;;;;;;Rignoux;Paris;Paris;Et. Ledoux;;;;;;;;;;;;;;;;;"""(1822.)""
""Ces quatre volumes forment la dernière livraison. Chaque livraison se vend 10 fr. ; papier fin des Vosges satiné, 12 fr 50c. Un Supplément en deux volumes in-18 (voyez n. 3802 de 1822), se vend 6 fr. ; papier fin des Vosges satiné, 7 fr. 50 c.""";;http://ark.bnf.fr/ark:/12148/cb30719906h
1823;1;1823/01/04;21;196;BELLES-LETTRES;Romans;Français;"Les Historiettes d’un ermite, ou Recueil instructif et amusant à l'usage des enfans. Trad. de l'anglais et orné de 6 gravures ; par le chevalier A***, traducteur des Contes de la Chaumière.";;;Anonyme masculin;"Noblesse;Métiers du livre";le chevalier A***, traducteur des Contes de la Chaumière;http://ark.bnf.fr/ark:/12148/cb116062021;;;6;;216;;In-18;;6 gravures;6;;1,5;;;;;;;;;;;;;Lefebvre;Paris;Paris;Locard et Davi;Paris;Mme Lechard;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb334210333
1823;1;1823/01/04;22;198;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;"Tablettes romantiques ; recueil orné de 4 portraits inédits et d'une vignette, lithographies par MM. Colin et Boulanger";;;Compilation;;;;"M. Colin;M. Boulanger";"http://ark.bnf.fr/ark:/12148/cb144387288;http://ark.bnf.fr/ark:/12148/cb14040635v";17 1/3;;416;;In-12;;"4 portraits;1 vignette";5;;;;;;;;;;;;;;;Debusscher;Paris;Paris, rue de l'Arbre-Sec, n. 22;;Paris;Pélicier;;;;;;;;;;;;;;;"""Les portraits sont ceux de MM. Nodier, Soumet, Guiraud et Ancelot."" ";;http://ark.bnf.fr/ark:/12148/cb31577805f
1823;1;1823/01/04;23;187;BELLES-LETTRES;Théâtre;Français;"Valérie, comédie en trois actes et en prose, par MM. Scribe et Mélesville ; représentée sur leThéâtre-Français, le 21 décembre 1822";"Scribe;Mélesville";"http://ark.bnf.fr/ark:/12148/cb11924226g;http://ark.bnf.fr/ark:/12148/cb12198749p";"Collectif;Pseudonyme masculin";;;;;;5 1/2;;88;;In-8;;;;;;;;;;;;;;;;;;Fain;Paris;Paris;Ladvocat;Paris;Barba;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb313409637
1823;1;1823/01/04;24;186;BELLES-LETTRES;Théâtre;Français;Etrennes dramatiques. Année 1823;;;Anonyme;;;;;;4;;32;;In-4;;"14 planches;couverture lithographiée";15;;;;;;;;;;;;;;;Everat;Paris;Paris, rue Cadet, n. 7;M. F. Weyer;;;;;;;;;;;;;;;;;;;http://ark.bnf.fr/ark:/12148/cb36406274f
