Date;Livraison;Année;N° de notice;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue;Unnamed: 59
1828/01/05;1;1828;4;222;BELLES-LETTRES;Théâtre;Français;Almanach des spectacles, pour 1828. Septième année, contenant, etc.;;Anonyme;;;;10 1/2;;378;;in-18;;;;;4;;;;;;;;;;;;;Fain;Paris;Paris, Palais-Royal;Barba;;;;;;;;;;;;;;;;;VIIe année.;;;
1828/01/05;1;1828;9;236;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Annales romantiques : Recueil de morceaux choisis de littérature moderne, 1827-1828;;Compilation;;;;12 4/9;;448;;in-18;;une planche;1;;;;;;;;;;;;;;;Balzac;Paris;Paris, rue Saint-Germain-des-Prés, n. 9;Urbain Canel;;;;;;;;;;;;;;;;;;;;
1828/01/05;1;1828;10;236;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Annuaire anecdotique, ou Souvenirs contemporains, 1828. Deuxième édition;;Anonyme;;;;9;;324;;in-18;;;;;;;;;;;;;;;;;;Gaultier-Laguionie;Paris;Paris, quai Malaquais, n. 1;Ponthieu;;;;;;;;;;;;;;;;;;;;
1828/01/05;1;1828;20;227;BELLES-LETTRES;Théâtre;Français;Chacun son rôle : Dame Jeanne, comédie-proverbe;;Anonyme;;;;3 2/3;;88;5;in-12;;;;;;;;;;;;;;;;;;Pihan Delaforest;Paris;;;;;;;;;;;;;;;;;;;Cinq cahiers in-12;;;
1828/01/05;1;1828;20;227;BELLES-LETTRES;Théâtre;Français;Chacun son rôle : Le Médecin gourmand, comédie-proverbe;;Anonyme;;;;2 2/3;;64;4;in-12;;;;;;;;;;;;;;;;;;Pihan Delaforest;Paris;;;;;;;;;;;;;;;;;;;Quatre cahiers in-12;;;
1828/01/05;1;1828;20;227;BELLES-LETTRES;Théâtre;Français;Chacun son rôle : La Méprise, comédie-proverbe;;Anonyme;;;;1 1/2;;36;3;in-12;;;;;;;;;;;;;;;;;;Pihan Delaforest;Paris;;;;;;;;;;;;;;;;;;;Trois cahiers in-12;;;
1828/01/05;1;1828;21;217;BELLES-LETTRES;Poétique et Poésie;Français;Chants du siècle;Adolphe Nicolas;;;;;12 3/8;;198;;in-8°;;;;;;;;;;;;;;;;;;Balzac;Paris;Paris, quai Malaquais, n. 1;Ponthieu;;;;;;;;;;;;;;;;;;;;
1828/01/05;1;1828;24;238;BELLES-LETTRES;Polygraphes;Français;Collection des classiques français en un seul volume. XLII, XLIII et XLVIIe livraisons;;Compilation;;;;;;;3;in-8°;;;;;2,0;;;;;;;;;;;;;Didot aîné;Paris;Paris, rue du Pont-de-Lodi, n. 4;J. Didot aîné;Paris;Dufour;Paris;Baudouin frères;;;;;;;;;;;;;"""Trois cahiers in-8°, chacun de six demi-feuilles."" Prix de chaque livraison : 2-0. La collection avait été promise en 50 livraisons. Les nouveaux éditeurs l'ont portée à 60; mais en augmentant les livraisons on a augmenté le nombre des ouvrages qui doivent y entrer ; voyez n. 4707 de 1827.";;;
1828/01/05;1;1828;25;240;BELLES-LETTRES;Epistolaires;Français;Correspondance de Fénelon, archevêque de Cambrai, publiée pour la première fois sur les manuscrits originaux et la plupart inédits. Tome VI;Fénelon, archevêque de Cambrai;;"Religion;Contexte géographique";;;37;;592;;in-8°;;;;;6,0;;;;papier vélin;12;;;;;;;;Adrien Leclère;Paris;Paris, rue des Grabds-Augustins, n. 23;Ferra jeune;Paris;Adrien Leclère;;;;;;;;;;;;;;;Cette correspondance formera environ huit volumes in-8° qui seront publiés de six en six semaines. Prix de chzque volumr : 6-0. Les exemplaires en papier vélin coûtent le doublé.;;;
1828/01/05;1;1828;32;229;BELLES-LETTRES;Romans et Contes;Français;Don Alonso, ou l'Espagne, histoire contemporaine. Quatrième édition;N. A. de Salvandy;;;;;52;;1248;4;in-12;;;;;;;;;;;;;;;;;;Balzac;Paris;Paris, rue de Vaugirard, n. 17;Baudouin frères;Paris;Delaunay;;;;;;;;;;;;;;;;;;
1828/01/05;1;1828;33;219;BELLES-LETTRES;Poétique et Poésie;Français;Elégies et poésies diverses de Mme Victoire Babois. IIIe édition;Mme Victoire Babois;Nom féminin;Épouse;;;13 7/9;;496;2;in-18;;des planches;;;;;;;;;;;;;;;;Doyen;Paris;Paris;Nepveu, passage des Panoramas, n. 26;;;;;;;;;;;;;;;;;;;;
1828/01/05;1;1828;36;234;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Etrennes conjugales, ou Contes et chansons de boudoir, publiés par Charles Chabot;Charles Chabot;;;;;2 1/2;;160;;in-32;;;;;;;;;;;;;;;;;;Guiraudet;Paris;Paris, passage Choiseul, n. 62;;;;;;;;;;;;;;;;;;En prose et en vers.;;;
1828/01/05;1;1828;39;229;BELLES-LETTRES;Romans et Contes;Français;La Femme, ou les Six amours. Deuxième édition;Mme Elise Voiart;Nom féminin;Épouse;;;59 1/2;;1428;6;in-12;;6 planches;6;;22,0;;;;;;;;;;;;;Tastu;Paris;Paris, rue Vivienne, n. 16;A. Dupont;;;;;;;;;;;;;;;;;;;;
