Date;Livraison;Année;N° de notice;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1829/01/03;1;1829;9;244;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Agenda perpétuel, historique et militaire, ou Ephémérides de poche;;Anonyme;;;;5 4/9;;196;;in-18;;;;;;;;;;;;;;;;;;Ducessois;Paris;Paris, rue de Sorbonne, n. 4;J. Janet;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;13;245;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Almanach des Gourmands, servant de guide aux convives et aux amphytrions, dédié à M. Rossini. Troisième année.;Périgord cadet;;Liens familiaux;;;3 3/16;;204;;in-32;;une lithographie;1;;;;;;;;;;;;;;;Barbier;Paris;Paris, rue de Vaugirard, n. 17;Baudouin frères;Paris;Charles-Béchet;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;14;231;BELLES-LETTRES;Théâtre;Français;Almanach des spectacles pour 1829. Huitième année, etc.;;Anonyme;;;;10 4/9;;376;;in-18;;;;;;;;;;;;;;;;;;Gaultier-Laguionie;Paris;au Palais-Royal, galerie de Chartres, derrière le Théâtre-Français;;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;18;225;BELLES-LETTRES;Poétique et Poésie;Français;Ballades, mélodies et poésies diverses;A. Fontaney;;;;;6 11/18;;238;;in-18;;;;;;;;;;;;;;;;;;Gratiot;Paris;Paris;Hayet;Paris;Delaunay;Paris;J. P. Roret;;;;;;;;;;;;;;;
1829/01/03;1;1829;20;226;BELLES-LETTRES;Poétique et Poésie;Français;Boutade, ou Epître d'un Parisien habitant du 60° degré de latitude septentrionale;M. Ad[re] Jauffret;;;;;2;;32;;in-8°;;;;;;;;;;;;;;;;;;Everat;Paris;Paris, rue Bourg-l'Abbé, n. 16;David;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;21;228;BELLES-LETTRES;Poétique et Poésie;Français;La Bulle de Savon, ou Choix de chansons;Ch. Paul de Kock;;;;;7 4/9;;268;;in-18;;une gravure;1;;3,50;;;;;;;;;;;;;J. Pinard;Paris;Paris, rue Vivienne, n. 16;Amb. Dupont;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;25;228;BELLES-LETTRES;Poétique et Poésie;Français;Chansons nouvelles de Marcillac;;Anonyme;;;;2 1/2;;160;;in-32;;;;;;;;;;;;;;;;;;Constant Chantpie;Saint-Denis;;;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;30;233;BELLES-LETTRES;Théâtre;Français;"Le concert à la campagne, intermède en un acte; représenté sur le théâtre royal de l'Odéon le 26 octobre 1828";"M. Léon Halevy;M. de Saint-Georges";Collectif;;;;1;;16;;in-8°;;;;;;;;;;;;;;;;;;David;Paris;Paris, boulevart Saint-Martin, n. 29;Bezou;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;45;235;BELLES-LETTRES;Théâtre;Français;"Des rues, mélodrame en trois actes, à spectacle; représenté sur le théâtre de la Gaîté le 20 décembre 1828";"Léopold;Saint-Amand;Jules Dulong";Collectif;;;;5;;80;;in-8°;;;;;;;;;;;;;;;;;;Chassaignon;Paris;Paris, boulevart Saint-Martin, n. 29;Bezou;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;46;230;BELLES-LETTRES;Poétique et Poésie;Français;Deux chansons, ou Etrennes aux libéralistes;le 12351° inscrit;Pseudonyme masculin;Autres;;;0 1/3;;12;;in-18;;;;;;;;;;;;;;;;;;Gueffier;Paris;;;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;49;222;BELLES-LETTRES;Rhétorique et Eloquence;Français;Discours de réception prononcé à l'académie royale des sciences, belles-lettres et arts de Lyon, dans sa séance publique du 13 septembre 1827;Paul-Antoine Cap;;;;;1 1/2;;24;;in-8°;;;;;;;;;;;;;;;;;;Louis Perrin;Lyon;;;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;51;226;BELLES-LETTRES;Poétique et Poésie;Français;Don Miguel;;Anonyme;;;;1;;16;;in-8°;;;;;;;;;;;;;;;;;;Dondey-Dupré;Paris;;;;;;;;;;;;;;;;;;;En vers.;;
1829/01/03;1;1829;52;233;BELLES-LETTRES;Théâtre;Français;L'espion, drame en cinq actes et en prose, représenté sur le Théâtre-Français le 13 décembre 1828;"Ancelot;Mazères";Collectif;;;;8 7/8;;142;;in-8°;;;;;4;;;;;;;;;;;;;Guiraudet;Paris;Paris;Bréauté;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;56;248;BELLES-LETTRES;Mythologie et Fables;Français;Fables choisies de La Fontaine. Edition nouvelle, ornée de 53 gravures en taille-douce;La Fontaine;;;;;15;;240;;in-8° oblong;;53 gravures en taille-douce, plus les planches;53;;7,5;;;;;;;;;;;;;Fournier;Paris;Paris, cour des Fontaines, n. 7;;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;57;248;BELLES-LETTRES;Mythologie et Fables;Français;Fables de La Fontaine, avec le commentaire de M. l'abbé Guillon. Nouvelle édition, publiée et augmentée d'un essai sur la vie et les ouvrages de La Fontaine. Par Jules Janin;La Fontaine;;Religion;;"M. l'abbé Guillon;Jules Janin";31 1/2;;756;2;in-12;;;;;;;;;;;;;;;;;;Rignoux;Paris;Paris;Delalain;Paris;Maire-Nyon;Paris;Arthus Bertrand;Paris;Sorbonne;;;;;;;;;;;Idem. Deux volumes in-8°, ensemble de 47 feuilles 1/2.;;
1829/01/03;1;1829;58;235;BELLES-LETTRES;Théâtre;Français;"Le forçat libéré, ou la Noce, le baptême et l'enterrement, mélodrame en trois actes et en trois époques, tiré du roman des Deux apprentis de M. Merville; représenté sur le théâtre du Cirque-Olympique le 1828";M. Merville;;;;;3;;48;;in-8°;;;;;;;;;;;;;;;;;;Chassaignon;Paris;Paris, boulevart Saint-Martin, n. 29;Bezou;;;;;;;;;;;;;;;;;La représentation n'a pas eu lieu en 1828.;;
1829/01/03;1;1829;59;236;BELLES-LETTRES;Théâtre;Français;Fragmens d'un monologue récité le 27 décembre 1828 par M. Clairville ainé sur le théâtre du Luxembourg;;Anonyme;Liens familiaux;;M. Clairville ainé;0 1/4;;4;;in-8°;;;;;;;;;;;;;;;;;;Fain;Paris;;;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;61;229;BELLES-LETTRES;Poétique et Poésie;Français;Gymnase lyrique, recueil de chansons et autres poésies inédites. Cinquième année, ornée de 12 airs gravés;;Anonyme;;;;8;;288;;in-18;;12 airs gravés, un titre gravé, une planche et 15 pages de musique;14;;3,5;;;;;;;;;;;;;Dondey-Dupré père;Paris;Paris, rue de Richelieu, n. 47 bis;Dondey-Dupré fils;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;83;241;BELLES-LETTRES;Romans et Contes;Français;"Mémoires du Vénitien J. Casanova de Seingalt, extrait de ses manuscrits originaux; publiés en Allemagne et traduits par M. Aubert de Vitry. Tomes X et XI";J. Casanova de Seingalt;;;M. Aubert de Vitry;;24 5/6;;596;2;in-12;;;;;7;;;;;;;;;;;;;Henry;Paris;Paris, rue du Pont-de-Lodi, n. 5;Tournachon-Molin;;;;;;;;;;;;;;;;;Les onze volumes… 37–0.;;
1829/01/03;1;1829;85;229;BELLES-LETTRES;Poétique et Poésie;Français;Le ménestrel des Vosges, recueil de romances, chansons, etc.;baron Ch. Auguste de Maldigny;;Noblesse;;;4 1/2;;162;;in-18;;;;;;;;;;;;;;;;;;Barbier;Paris;Paris, au Palais-Royal, péristyle Valois;Delaunay;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;86;225;BELLES-LETTRES;Poétique et Poésie;Français;Mes momens perdus, recueil de poésies françaises et provencales. Tome Ier;Pre Bellot;;;;;6;;144;;in-12;;une lithographie;1;;;;;;;;;;;;;;;Achard;Marseille;;;;;;;;;;;;;;;;;;;Contient, pages 97-116, une scène épisodique d'un vaudeville inédit.;;
1829/01/03;1;1829;87;231;BELLES-LETTRES;Poétique et Poésie;Français;La mort d'Abel;Salomon Gessner;;;;;6;;216;;in-18;;;;;;;;;;;;;;;;;;Deckherr;Montbéliard;;;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;89;230;BELLES-LETTRES;Poétique et Poésie;Français;Napoléon en Égypte, poëme en huit chants. Dixième édition. (Faux-titre, titre et pages 9-12 de la préface.);"Barthélemy;Méry";Collectif;;;;0 2/9;;8;;in-18;;;;;6;;;;;;;;;;;;;Pinard;Paris;Paris, quai Voltaire, n. 15;A. Dupont;;;;;;;;;;;;;;;;;Faux-titre, titre et pages 9-12 de la préface;;
1829/01/03;1;1829;89;230;BELLES-LETTRES;Poétique et Poésie;Français;Napoléon en Égypte, poëme en huit chants. Onzième édition. (Faux-titre, titre et pages 9-12 de la préface.);"Barthélemy;Méry";Collectif;;;;0 2/9;;8;;in-18;;;;;6;;;;;;;;;;;;;Pinard;Paris;Paris, quai Voltaire, n. 15;A. Dupont;;;;;;;;;;;;;;;;;Faux-titre, titre et pages 9-12 de la préface;;
1829/01/03;1;1829;90;243;BELLES-LETTRES;Romans et Contes;Français;Le naufrage d'Anaïs, ou le Pirate honnéte homme. Nouvelle flamande. Première édition;;Anonyme;;;;2 8/9;;104;;in-18;;;;;;;;;;;;;;;;;;Chassaignon;Paris;Paris, rue Saint-André-des-Arts;Caillot;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;96;227;BELLES-LETTRES;Poétique et Poésie;Français;Ode sur la guerre d'Orient;J. M. H. Bijeon;;;;;0 1/2;;8;;in-8°;;;;;;;;;;;;;;;;;;Sétier;Paris;;;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;97;247;BELLES-LETTRES;Polygraphes;Français;Oeuvres complètes de Bossuet, évêque de Meaux. Tomes XVII et XXV;Bossuet, évêque de Meaux;;Religion;;;74 7/8;;1198;2;in-8°;;;;;3,5;;;;;;;;;;;;;Gauthier;Besançon;Paris;Gauthier frères;Besançon;Gauthier frères;;;;;;;;;;;;;;;Cette édition in-8° aura 51 volumes. Les mêmes libraires publient une édition in-12 en 65 volumes.;;
1829/01/03;1;1829;98;232;BELLES-LETTRES;Théâtre;Français;Oeuvres complètes de Molière, revues avec soin sur toutes les éditions, avec des notes extraites des meilleurs commentateurs, et précédées de notices par MM. Ch. Nodier et A. Martin. Onzième livraison;Molière;Pseudonyme;;;"M. Ch. Nodier;A. Martin";2;;72;;in-18;;;;;1;;;;;;;;;;;;;Fournier;Paris;Paris, quai des Augustins;Boulland;;;;;;;;;;;;;;;;;L'édition a été promise en 14 livraisons. Le tout formera un seul volume.;;
1829/01/03;1;1829;99;248;BELLES-LETTRES;Polygraphes;Français;Oeuvres complètes de Voltaire (en un seul volume in-8°). 77e, 78e, 79e et 80e livraisons;Voltaire;Pseudonyme;;;;20;;320;;in-8°;;;;;2;;;;;;;;;;;;;J. Didot aîné;Paris;Paris, rue du Pont-de-Lodi;J. Didot aîné;Paris;Dufour et compagnie;Paris;Baudouin frères;;;;;;;;;;;;;"Ces livraisons contiennent la fin des Mélanges littéraires et une partie des Commentaires sur Corneille. La dernière page est chiffrée 4248. 
L'édition avait d'abord été annoncée en 70 livraisons. Maintenant on lit sur la couverture: ""Le volume entier se composera d'environ 80 livraisons, qui paraîtront, nous en prenons l'engagement formel, tous les quinze jours. 
L'engagement formel porte, comme on voit, sur l'exactitude de la publication tous les 15 jours La livraison 80e vient jusqu'au 49e volume de l'édition de M. Lequien, qui a 69 volumes.";;
1829/01/03;1;1829;100;246;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Oeuvres de Madame Cottin – de Mme du Deffant—de Mme de Lambert – de Mme d'Epinay – de Mme de Lespinasse. – Oeuvres de Mme de Maintenon – de Mme Necker – de Mme de Puizieux – de Mme de Riccoboni – de Mme de Sévigné – de Mme de Staël – de mesdames de Tencin, de Grafigny et Geoffrin;"Mme Cottin;de Mme du Deffant;de Mme de Lambert;de Mme d'Epinay;de Mme de Lespinasse;Mme de Maintenon;de Mme Necker;de Mme de Puizieux;de Mme de Riccoboni;de Mme de Sévigné;de Mme de Staël;de Mme de Tencin;de Grafigny;Mme de Geoffrin";"Nom féminin;Compilation";;;;1 3/4;;336;12;in-96;;;;;;;;;;;;;;;;;;Doyen;Paris;Paris, passage des Panoramas;Marquis, marchand de chocolats;;;;;;;;;;;;;;;;;Ce n'est pas la nomenclature des Oeuvres de ces auteurs, mais des phrases ou pensées qui en sont extraites. La collection paraît destinée à être mise avec des bonbons.;;
1829/01/03;1;1829;101;248;BELLES-LETTRES;Polygraphes;Français;Oeuvres de Voltaire. (Tome XIV) Contes.;Voltaire;Pseudonyme;;;;16 1/2;;396;;in-12;;;;;2;;;;;;;;;;;;;Cosson;Paris;Paris, rue de l'Observance, n. 10;Garnery;;;;;;;;;;;;;;;;;L'édition aura 75 volumes.;;
1829/01/03;1;1829;101;248;BELLES-LETTRES;Polygraphes;Français;Oeuvres de Voltaire.  (Tome XVII) Essai sur les moeurs, tome II;Voltaire;Pseudonyme;;;;20 5/6;;500;;in-12;;;;;2;;;;;;;;;;;;;Cosson;Paris;Paris, rue de l'Observance, n. 10;Garnery;;;;;;;;;;;;;;;;;L'édition aura 75 volumes.;;
1829/01/03;1;1829;103;218;BELLES-LETTRES;Introduction et Langues;Français;Les omnibus du langage. Quatrième édition, revue, corrigée et augmentée de trois cents articles;;Anonyme;;;;2 1/2;;160;;in-32;;;;;0,6;;;;;;;;;;;;;Carpentier-Méricourt;Paris;Paris;Garnier;;;;;;;;;;;;;;;;;;;
1829/01/03;1;1829;104;245;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Origine des proverbes, explications curieuses et instructives de l'origine des phrases proverbiales qui sont usitées de nos jours;M. C. Bourdonné, professeur de langue française;;Enseignement;;;2;;128;;in-32;;;;;;;;;;;;;;;;;;Chassaignon;Paris;Paris;Garnier;;;;;;;;;;;;;;;;;;;
