Année;Livraison;Date;N° de notice;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1830;1;1830/01/02;6;215;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Album britannique, ou Choix de morceaux traduits des recueils annuels de la Grande-Bretagne, orné de douze gravures anglaises, publié par les éditeurs de la Revue britannique.;;"Compilation;Pseudonyme collectif";Métiers du livre;;les éditeurs de la Revue britannique;18 3/4;;300;;in-8°;;;;;;;;;;;;;;;;;;Dondey-Dupré;Paris;Paris, rue des Bons-Enfans, n. 21;;Paris;Dondey-Dupré fils;;;;;;;;;;;;;;;Sans planches.;;
1830;1;1830/01/02;7;205;BELLES-LETTRES;Théâtre;Français;Almanach des spectacles, pour 1830. Neuvième année, contenant, etc.;;Anonyme;;;;10 1/2;;378;;in-18;;;;;;;;;;;;;;;;;;Barbier;Paris;Paris, Palais-Royal, galerie de Chartres;;;;;;;;;;;;;;;;;;;;
1830;1;1830/01/02;11;207;BELLES-LETTRES;Théâtre;Français;L'amour raisonnable, comédie en un acte et en prose, représentée à Paris, sur le théâtre de l'Ambigu-Comique, le 8 décembre 1829.;M. de Chavanges;;;;;2;;32;;in-8°;;;;;1,50;;;;;;;;;;;;;Chassaignon;Paris;Paris, boulevart Saint-Martin;Bezou;;;;;;;;;;;;;;;;;;;
1830;1;1830/01/02;16;210;BELLES-LETTRES;Romans et Contes;Français;"Aventures de Télémaque. Six premiers livres. Nouvelle édition, à l'usage de lenseignement universel; accompagné de modèles d'écriture.";;Anonyme;;;;6 7/12;;158;;in-12;;2 planches;2;;;;;;;;;;;;;;;Busseuil;Nantes;Nantes;Suireau;;;;;;;;;;;;;;;;;;;
1830;1;1830/01/02;23;198;BELLES-LETTRES;Poétique et Poésie;Français;Chansonnier des braves, recueil de chansons militaires anciennes et modernes. Quatrième édition.;;Compilation;;;;5;;180;;in-18;;;;;;;;;;;;;;;;;;Guélon-Moreau;Reims;Paris, rue Saint-André-des-Arts;Caillot;;;;;;;;;;;;;;;;;Sans millésime.;;
1830;1;1830/01/02;25;203;BELLES-LETTRES;Poétique et Poésie;Français;"Choix de sonnets de Pétrarque; traduits en vers par M. Camille Esménard.";Pétrarque;;;M. Camille Esménard;;9 2/3;;232;;in-12;;un portrait;1;;;;;;;;;;;;;;;Dosquet;Metz;Paris, quai des Augustins, n. 59;Mme veuve Charles-Béchet;;;;;;;;;;;;;;;;;;;
1830;1;1830/01/02;29;214;BELLES-LETTRES;Romans et Contes;Français;"Contes de Bocace, traduction nouvelle, augmentée de divers contes et nouvelles imitées de ce poète par La Fontaine, Passerat, etc.; enrichie de notes sur les principaux personnages que Bocace a mis en scène. Par A. Sabatier de Castres. (Prospectus.)";;Anonyme;;;;0 1/4;;4;;in-8°;;;;;;;;;;;;;;;;;;Paul Renouard;Paris;Paris, vieille rue du Temple;Locard et Davi;Versailles;Jalabert;;;;;;;;;;;;;;;"L'édition formera 6 volumes in-8; le 1er volume est promis pour le 30 janvier, les autres suivront de 20 en 20 jours. Prix de chacun : 2-25.";;
1830;1;1830/01/02;31;188;BELLES-LETTRES;Introduction et Langues;Français;Cours de belles-lettres, à l'usage des élèves de l'école royale militaire de Saint-Cyr.;;Anonyme;;;;17 1/2;;420;;in-12;;;;;3,50;;;;;;;;;;;;;Aug. Delalain;Paris;Paris, rue des Mathurins-Saint-Jacques;Aug. Delalain;;;;;;;;;;;;;;;;;;;
1830;1;1830/01/02;36;204;BELLES-LETTRES;Poétique et Poésie;Français;Le dernier chant du pélerinage de Child-Harold, poëme, suivi des épîtres diverses, par Alphonse de Lamartine. Cinquième édition. Tome IV.;Alphonse de Lamartine, de l'Académie française;;"Sociétés savantes;Contexte géographique";;;7 1/2;;270;;in-18;;;;;;;;;;;;;;;;;;Stahl;Paris;Paris, qual Voltaire, n. 15;Ambroise Dupont et Roret;Paris, quai Voltaire, n. 15;;Paris;Denain;;;;;;;;;;;;;"(1826.) La couverture imprimée porte: Oeuvres de A. de la Martine, de l'Académie française. Tome II; et les adresses, quai Voltaire, n. 15, et chez Denain. (1830).";;
1830;1;1830/01/02;38;195;BELLES-LETTRES;Poétique et Poésie;Français;Dialogues en vers français, pour la solennité de la distribution annuelle des prix, au petit séminaire de Toulouse.;M. l'abbé Plumerel;;Religion;;;2 3/4;;44;;in-8°;;;;;;;;;;;;;;;;;;Manavit;Toulouse;;;;;;;;;;;;;;;;;;;;;
1830;1;1830/01/02;42;196;BELLES-LETTRES;Poétique et Poésie;Français;Epître à M. de Saintine, qui a bien voulu se charger de recevoir les épreuves d'un de nos ouvrages.;"Barthélemy;Méry";Collectif;;;;2;;32;;in-8 °;;;;;;;;;;;;;;;;;;Tastu;Paris;;;;;;;;;;;;;;;;;;;Signé Barthélemy et Méry.;;
