Date;Livraison;Année;N° de notice;Page;Catégorie;Sous-catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue;n° de notice
1835/01/05;1;1833;1;209;BELLES-LETTRES;Poétique et Poésie;Français;A la femme;Mercier;;;;;0 1/4;;2;;in-4°;;;;;;;;;;;;;;;;;;Sétier;Paris;;;;;;;;;;;;;;;;;;;Cinq couplets saint-simoniens. Signé : Mercier.;;;
1835/01/05;1;1833;2;214;BELLES-LETTRES;Poétique et Poésie;Français;A la garde nationale de Paris. Le Corps-de-garde.;Defrance, garde national de la 2e légion, 1er bataillon, 2e compagnie;;Armée et maintien de l'ordre;;;0 1/4;;4;;in-8°;;;;;;;;;;;;;;;;;;Vinchon;Paris;;;;;;;;;;;;;;;;;;;Couplets, par Defrance, garde national de la 2e légion, 1er bataillon, 2e compagnie.;;;
1835/01/05;1;1833;4;211;BELLES-LETTRES;Poétique et Poésie;Français;A Victor Hugo.;;Anonyme;;;;0 1/2;;8;;in-8°;50;;;;;;;;;;;;;;;;;Prudhomme;St-Brieuc;;;;;;;;;;;;;;;;;;;En vers alexandrins. Tiré à 50.;;;
1835/01/05;1;1833;10;220;BELLES-LETTRES;Théâtre;Français;"L'anneau, ou Départ et retour. Comédie-vaudeville en deux actes; représentée sur le théâtre de l'Ambigu-Comique le 3 décembre 1832.";"M. Lavarenne;M. Laurencin";Collectif;;;;2 1/2;;40;;in-8°;;;;;1,5;;;;;;;;;;;;;Lottin de St-Germain;Paris;Paris, boulevart St-Martin, n. 12;Marchant;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;12;211;BELLES-LETTRES;Poétique et Poésie;Français;Anvers. Chant national.;Constans;;;;;0 1/2;;4;;in-4°;;;;;;;;;;;;;;;;;;Pihan Delaforest (M.);Paris;;;;;;;;;;;;;;;;;;;En vers libres, signés Constans.;;;
1835/01/05;1;1833;13;219;BELLES-LETTRES;Théâtre;Français;"L'art de ne pas monter sa garde. Vaudeville en un acte; représenté sur le théâtre des Variétés le 10 décembre 1832.";"M. Barthélemy;M. Lhérie";"Collectif;Pseudonyme masculin";;;;1 3/4;;28;;in-8°;;;;;1,5;;;;;;;;;;;;;Lottin de Saint-Germain;Paris;Paris, boulevart St-Martin, n. 12;Marchant;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;16;218;BELLES-LETTRES;Théâtre;Français;"Camilla, ou la Sœur et le frère. Comédie-vaudeville en un acte; représentée sur le théâtre du Gymnase-Dramatique le 12 décembre 1832.";"M. Scribe;M. Bayard";Collectif;;;;4 1/4;;68;;in-8°;;;;;;;;;;;;;;;;;;Dondey-Dupré;Paris;Paris, rue du Temple, n. 36;Pollet;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;19;213;BELLES-LETTRES;Poétique et Poésie;Français;Chansons de H. Leblanc. Première livraison.;H. Leblanc;;;;;1;;16;;in-8°;;;;;;;;;;;;;;;;;;Herhan;Paris;;;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;25;230;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;"La consolation des cocus, ou Bonnes raisons aux maris pour qu'ils soient toujours contens de leurs femmes; suivies d'une peinture fidèle des mœurs matrimoniales de tous les peuples, et de quelques faits, anecdotes et badinages sur le mariage, l'adultère, le divorce, les querelles conjugales, la polygamie, les filles de joie, les concubines, les eunuques, la vente et l'achat des femmes dans divers pays, etc., etc. Par un membre de la plus ancienne et la plus nombreuse confrérie de tous les royaumes, lord Witmolett, fils naturel de Mlle Conine, gouverneur des îles Sandwick. Traduit fidèlement de l'anglais et augmenté par C*** G***.";"un membre de la plus ancienne et la plus nombreuse confrérie de tous les royaumes, lord Witmolett, fils naturel de Mlle Conine, gouverneur des îles Sandwick;C*** G***";"Anonyme;Pseudonyme masculin;Compilation";"Noblesse;Contexte géographique;Liens familiaux;Politique;Administration;Autres";C*** G***;;3;;108;;in-18;;une planche;1;;;;;;;;;;;;;;;Chassaignon;Paris;Paris, rue Gît-le-Cœur, n. 7;Chassaignon;;;;;;;;;;;;;;;;;;;;
1835/01/05;1;1833;26;228;BELLES-LETTRES;Romans et Contes;Français;Contes de toutes les couleurs. Tome IV.;;Anonyme;;;;27 1/4;;436;;in-8°;;;;;7,50;;;;;;;;;;;;;Duverger;Paris;Paris;Fournier jeune;;;;;;;;;;;;;;;;;Sur la première page du texte on lit : Salmigondis. C'est l'intitulé des trois premiers volumes.;;;
1835/01/05;1;1833;28;206;BELLES-LETTRES;Introduction et Langues;Français;Cours pratique et théorique de la langue anglaise. 21e et 22e leçons.;Robertson;;;;;1;;16;;in-8°;;;;;8,0;;;;;;;;;;;;;Fain;Paris;Paris, rue du Bouloy, n. 7;Lance;;;;;;;;;;;;;;;;;Prix de chaque feuille séparément: 8-0. Sans pagination. Fait partie d'une réimpression du Robertson's magazine, ou Journal grammatical et littéraire de la langue anglaise. Cette réimpression, dans laquelle on supprime la partie littéraire, formera un volume in-8°, du prix, pour les souscripteurs, de 8-0.;;;
