Date;Livraison;Année;N° de notice;Page;Catégorie;Sous-catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1835/01/03;1;1835;17;208;BELLES-LETTRES;Théâtre;Français;"Au rideau, ou les Singeries dramatiques. Revue-prologue; représenté sur le théâtre du Cirque-Olympique le 9 décembre 1834.";MM. Cogniard frères;Collectif;Liens familiaux;;;1 1/2;;24;;in-8°;;;;;1,5;;;;;;;;;;;;;Mevrel;Paris;Paris, boulevart St-Martin;Marchant;;;;;;;;;;;;;;;;;Une autre édition a été annoncée sous le n. 6842 de 1834.;;
1835/01/03;1;1835;18;213;BELLES-LETTRES;Romans et Contes;Français;"Auguste et Julie, ou les Suites déplorables d'une jalousie secrète. Par Spiess. Suivi de Notre Fritz, par Kotzebue; traduits et imités de l'allemand par S***.";"Spiess;Kotzebue";"Compilation;Anonyme";;S***;;3;;108;;in-18;;une gravure;1;;;;;;;;;;;;;;;Stahl;Paris;Paris, quai St-Michel, n. 15;Stahl;;;;;;;;;;;;;;;;;;;
1835/01/03;1;1835;21;216;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;La belle assemblée, annuaire fashionable.;divers auteurs;Collectif;;;;15;;540;;in-18;;;;;;;;;;;;;;;;;;J. Didot aîné;Paris;Paris, rue St-Jacques, n. 59;Louis Janet;Paris, rue St-Honoré, n. 202;;;;;;;;;;;;;;;;Morceaux en prose et en vers de divers auteurs.;;
1835/01/03;1;1835;26;199;BELLES-LETTRES;Poétique et Poésie;Français;La Carentanade. Poënte héroï-comique, en trois chants et en vers. Première édition.;M. Le Goupil, de Cherbourg;;Contexte géographique;;;2 1/2;;60;;in-12;;;;;;;;;;;;;;;;;;Pottier;Saint-Lô;Cherbourg;Le Goupil;;;;;;;;;;;;;;;;;Poëme en vers de 10 syllabes, dont le sujet est l'expédition de huit cents Cherbourgeois, en 1830, qui se mirent en marche jusqu'à Carentan pour aller au devant d'une armée de royalistes qu'on disait venir pour s'emparer de Cherbourg.;;
1835/01/03;1;1835;27;203;BELLES-LETTRES;Poétique et Poésie;Français;La Colonne Vendôme. Ode à Napoléon, dédiée à M. le comte Bertrand.;Pluchonneau aîné;;Liens familiaux;;;0 1/4;;4;;in-8°;;;;;;;;;;;;;;;;;;Herhan;Paris;;;;;;;;;;;;;;;;;;;;;
1835/01/03;1;1835;32;195;BELLES-LETTRES;Introduction et Langues;Français;Cours de thèmes, à l'usage des commençans, d'après une nouvelle méthode de latinité, etc.;J. Achintre;;;;;9 1/2;;228;;in-12;;;;;;;;;;;;;;;;;;Pontier;Aix;Aix;Pontier;;;;;;;;;;;;;;;;;;;
1835/01/03;1;1835;41;217;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Emblême des fleurs, ou Parterre de Flore, contenant le symbole et le langage des fleurs, leurs histoire et origine mythologique, et les plus jolis vers qu'elles ont inspirés à nos meilleurs poètes. Publié par M. Ch. Jos. Ch...t, de plusieurs sociétés littéraires. Quatrième édition, augmentée de la manière d'écrire et de parler au moyen des fleurs.;M. Ch. Jos. Ch...t, de plusieurs sociétés littéraires;;"Sociétés savantes;Métiers du livre";;;2 5/16;;148;;in-32;;16 gravures;16;;;;;;;;;;;;;;;Petit;Paris;Paris, rue St-Denis, n. 380;Constant-Chantpie;;;;;;;;;;;;;;;;;;;
1835/01/03;1;1835;43;203;BELLES-LETTRES;Poétique et Poésie;Français;L'Enfer.;Le Dante;;;;;0 1/2;;8;;in-8°;;;;;;;;;;;;;;;;;;Bottier;Bourg;;;;;;;;;;;;;;;;;;;Fragment d'une traduction inédite, en prose, du poème du Dante.;;
1835/01/03;1;1835;45;214;BELLES-LETTRES;Romans et Contes;Français;L'Espagne. Royaume de Grenade. Orné de 31 vignettes sur bois et sur acier.;Thomas Roscoe;;;;;15;;240;;in-8°;;31 vignettes sur bois et sur acier;31;;;;;;;;;;;;;;;J. Didot aîné;Paris;Paris, rue St-Jacques, n. 59;Louis Janet;Paris, rue St-Honoré, n. 202;;;;;;;;;;;;;;;;Sans vignettes.;;
1835/01/03;1;1835;48;210;BELLES-LETTRES;Romans et Contes;Français;Études philosophiques. Tomes I, II, III, IV et V.;M. de Balzac;;;;;52 2/3;;1264;5;in-12;;;;;15;;;;;;;;;;;;;Barbier;Sèvres;Paris, rue des Quatre-Vents, n. 18;Werdet;;;;;;;;;;;;;;;;;Les Etudes philosophiques paraîtront en 5 livraisons, chacune de 5 volumes, et du prix de 15-0.;;
