Année;Livraison;Date;Numéro;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Identifiant auteur;Identifiant ouvrage;Posture;Affichage identitaire;Traducteur;Identifiant traducteur;Para-auteur;Identifiant para-auteur;Nb de feuilles;Fraction;Nombre de pages;Volumes;Calcul;Format;Tirage 1;Illustration 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustration 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustration 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Tirage 4;Type de papier 4;Tirage 5;Type de papier 5;Tirage 6;Type de papier 6;Tirage 7;Type de papier 7;Tirage 8;Type de papier 8;Tirage 9;Type de papier 9;Edition;Lieu d'édition;Impression;Lieu d'impression;Librairie 1;Lieu de vente 1;Librairie 2;Lieu de vente 2;Librairie 3;Lieu de vente 3;Librairie 4;Lieu de vente 4;Librairie 5;Lieu de vente 5;Librairie 6;Lieu de vente 6;Librairie 7;Lieu de vente 7;Librairie 8;Lieu de vente 8;Librairie 9;Lieu de vente 9;Commentaires des bibliographes contenus dans la notice;Notes (e-BdF);Unnamed: 75;Unnamed: 76;Unnamed: 77;Unnamed: 78;Unnamed: 79;Unnamed: 80;Unnamed: 81;Unnamed: 82;Unnamed: 83;Unnamed: 84;Unnamed: 85;Unnamed: 86;Unnamed: 87;Unnamed: 88;Unnamed: 89;Dernier lien de recherche;Ouvrage_prédit;Auteur_prédit;Autre_auteur_prédit
1824;1;1824/01/03;3;"226;199";BELLES-LETTRES;"Poétique et Poésie;Polygraphes";Français;Classiques français. Poésies de Malherbe, plus un portrait;Malherbe;http://ark.bnf.fr/ark:/12148/cb12327103c;;;;;;;;4;13/16;308;;64;in-32;;un portrait;1;vélin;;;;;;;;;;;;;;;;;;;;;;;;;;F. Didot;Paris;L. Debure;Paris, rue Guénégaud, n. 27;;;;;;;;;;;;;;;;;"""La couverture imprimée porte : Classiques français, ou Bibliothèque portative de l'amateur, composée des chefs-d'œuvre en prose et en vers des meilleurs auteurs, et ornée de portraits. V. n. 4.""";;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;Poésies+de+Malherbe&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Malherbe&mots3=ALL;0;1;+plus+un+portrait&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb30866499f;Malherbe, François de (1555-1628) [ https://catalogue.bnf.fr/ark:/12148/cb12327103c ];
1824;1;1824/01/03;20;200;BELLES-LETTRES;Poétique et Poésie;Français;Œuvres de Gilbert, avec notes et variantes, et une nouvelle notice. Par M. Amar;Gilbert;http://ark.bnf.fr/ark:/12148/cb12096444g;http://ark.bnf.fr/ark:/12148/cb305061646;;;;;Amar;http://ark.bnf.fr/ark:/12148/cb129771999;8;5/8;552;2;64;;;une planche;1;;;;;;;;;;;;;;;;;;;;;;;;;;;Jules Didot aîné;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;Œuvres+de+Gilbert&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Gilbert&mots3=NRC;0;1;Didot+aîné&mots4=ALL;0;1;+avec+notes+et+variantes,+et+une+nouvelle+notice.+Par+M.+Amar&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb305061646 , https://catalogue.bnf.fr/ark:/12148/cb321654680;Gilbert, Nicolas-Joseph-Laurent (1750-1780) [ https://catalogue.bnf.fr/ark:/12148/cb12096444g ];Amar Du Rivier, Jean-Augustin (1765-1837) [ https://catalogue.bnf.fr/ark:/12148/cb129771999 ]
1824;1;1824/01/03;21;199;BELLES-LETTRES;Poétique et Poésie;Français;"Œuvres de Clément Marot. Nouvelle édition, revue sur toutes celles qui l'ont précédées ; avec des notes historiques et un glossaire des vieux mots. Par M. P. R. Auguis.";Clément Marot;http://ark.bnf.fr/ark:/12148/cb119146627;http://ark.bnf.fr/ark:/12148/cb308886407;;;;;M. P. R. Auguis;http://ark.bnf.fr/ark:/12148/cb124785168;35;;1260;;36;in-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C. Chantpie;Paris;C. Chantpie;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;Œuvres+de+Clément+Marot&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Marot&mots3=NRC;0;1;Chantpie+Chantpie&mots4=ALL;0;1;+revue+sur+toutes+celles+qui+l'ont+précédées+;+avec+des+notes+historiques+et+un+glossaire+des+vieux+mots.+Par+M.+P.+R.+Auguis.++Nouvelle+édition&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb308886407;Marot, Clément (1496-1544) [ https://catalogue.bnf.fr/ark:/12148/cb119146627 ];Auguis, Pierre-René (1786-1844) [ https://catalogue.bnf.fr/ark:/12148/cb124785168 ]
1824;1;1824/01/03;22;211;BELLES-LETTRES;Théâtre;Français;"L'Ecole des Vieillards, comédie en cinq actes et en vers ; représentée le 6 décembre 1823, par les comédiens ordinaires du roi. Troisième édition. […] plus un catalogue de 8 pages.";Casimir Delavigne;http://ark.bnf.fr/ark:/12148/cb12052639n;http://ark.bnf.fr/ark:/12148/cb38659682j;;;;;;;18;1/2;296;;16;in-8°;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;Pinard;Paris;Barba;Paris;Ladvocat;Paris;;;;;;;;;;;;;;;"""Conforme à la seconde édition. V. n° 3864 de 1823.""";;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;L'Ecole+des+Vieillards&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Delavigne&mots3=NRC;0;1;Pinard+Barba&mots4=ALL;0;1;+comédie+en+cinq+actes+et+en+vers+;+représentée+le+6+décembre+1823,+par+les+comédiens+ordinaires+du+roi.+Troisième+édition.+[…]+plus+un+catalogue+de+8+pages.&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb30315506r , https://catalogue.bnf.fr/ark:/12148/cb32009385v , https://catalogue.bnf.fr/ark:/12148/cb30315505d , https://catalogue.bnf.fr/ark:/12148/cb303155073 , https://catalogue.bnf.fr/ark:/12148/cb35603068f , https://catalogue.bnf.fr/ark:/12148/cb38659683w;Delavigne, Casimir (1793-1843) [ https://catalogue.bnf.fr/ark:/12148/cb12052639n ];
1824;1;1824/01/03;25;206;BELLES-LETTRES;Poétique et Poésie;Français;Rondeau redoublé dédié à la gloire de Mgr le duc d'Angoulême;J. B. Gougé;http://ark.bnf.fr/ark:/12148/cb10216268b;http://ark.bnf.fr/ark:/12148/cb305268547;;;;;;;;1/4;4;;16;in-8°;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;Boucher;Paris;chez l'auteur;Paris, rue de la Boule-Rouge, n. 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;Rondeau+redoublé&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Gougé&mots3=NRC;0;1;Boucher+l'auteur&mots4=ALL;0;1;dédié+à+la+gloire+de+Mgr+le+duc+d'Angoulême&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb305268547;Gougé, J.-B. [ https://catalogue.bnf.fr/ark:/12148/cb10216268b ];
1824;1;1824/01/03;26;208;BELLES-LETTRES;Poétique et Poésie;Français;Le Héros du Midi aux colonnes d’Alcide, ou l'Espagne pacifée, esquisse en deux chants;Louis Borde;http://ark:/12148/cb10649446m;http://ark.bnf.fr/ark:/12148/cb30131440r;;;;;;;1;;16;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mme veuve Silbermann;Strasbourg;;;;;;;;;;;;;;;;;;;"""In-8° d'une feuille, y compris la couverture. […] Signé : Louis Borde.""";;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;Le+Héros+du+Midi+aux+colonnes+d’Alcide&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Borde&mots3=NRC;0;1;Silbermann&mots4=ALL;0;1;+ou+l'Espagne+pacifée,+esquisse+en+deux+chants&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb30131440r;Borde, Louis-Auguste-D.-Louis [ https://catalogue.bnf.fr/ark:/12148/cb10649446m ];
1824;1;1824/01/03;27;201;BELLES-LETTRES;Poétique et Poésie;Français;Chant français;Auguste Olmade, chef de division à la mairie de Toulouse;http://ark.bnf.fr/ark:/12148/cb10738382x;http://ark.bnf.fr/ark:/12148/cb31036108m;;"Administration;Contexte géographique";;;;;;1/2;8;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vieusseux;Toulouse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;Chant+français&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Olmade&mots3=ALL;0;1;&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb31036108m;Olmade, Auguste (chef de division à la mairie de Toulon) [ https://catalogue.bnf.fr/ark:/12148/cb10738382x ];
1824;1;1824/01/03;29;208;BELLES-LETTRES;Poétique et Poésie;Français;L’Espagne délivrée, cantate;A. Salin;http://ark.bnf.fr/ark:/12148/cb10715841k;http://ark.bnf.fr/ark:/12148/cb31287788c;;;;;;;;1/2;8;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Herhan;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;L’Espagne+délivrée&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Salin&mots3=NRC;0;1;Herhan&mots4=ALL;0;1;+cantate&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb31287788c;Salin, Alphonse (1798-1878) [ https://catalogue.bnf.fr/ark:/12148/cb10715841k ];
1824;1;1824/01/03;30;200;BELLES-LETTRES;Poétique et Poésie;Français;La Vendée, poëme en six chants;M. le vicomte le Prévost d’Iray;http://ark.bnf.fr/ark:/12148/cb119117514;http://ark.bnf.fr/ark:/12148/cb30795863r;;Noblesse;;;;;21;3/4;348;;16;in-8°;;une planche;1;;6;;;;;;;;;;;;;;;;;;;;;;;;;Lachevardière;Paris;A. Bertrand;Paris;;;;;;;;;;;;;;;;;"""In-8° de 21 feuilles 3/4, plus une planche.""";;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;La+Vendée&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;d’Iray&mots3=NRC;0;1;Lachevardière+Bertrand&mots4=ALL;0;1;+poëme+en+six+chants&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb36283249t , https://catalogue.bnf.fr/ark:/12148/cb30795863r;;Le Prévost d'Iray, Chrétien-Siméon (1768-1849) [ https://catalogue.bnf.fr/ark:/12148/cb119117514 ]
1824;1;1824/01/03;32;206;BELLES-LETTRES;Poétique et Poésie;Français;Essais d’Elisée Lecomte;Elisée Lecomte, négociant à l'Aigle (Orne);http://ark.bnf.fr/ark:/12148/cb10361025h;http://ark.bnf.fr/ark:/12148/cb30767473t;;"Commerce;Contexte géographique";;;;;2;1/4;36;;16;in-8°;;;;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;Crapelet;Paris;;;;;;;;;;;;;;;;;;;"""Contient des morceaux en prose et des pièces de vers.
La dédicace à M. Casimir Perrier est signée : E. Lecomte Duval.
Ne se vend pas, quoique le prix soit indiqué sur la couverture.""";;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;Essais+d’Elisée&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Lecomte&mots3=NRC;0;1;Crapelet&mots4=ALL;0;1;Lecomte&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb30767473t;Lecomte, Élisée [ https://catalogue.bnf.fr/ark:/12148/cb10361025h ];
